Fund Name,Category,Inception Date,Class,Type,Offer,Repurchase,NAV,Validity Date,"Front-end Load %","Back-end Load %","Contingent Load %",Trustee Code
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.7744,133.9892,133.9892,2017-02-08,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-.1,119.7675,116.4770,116.4770.1,2016-11-24,-.2,-.3,-.4,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.5806,133.8007,133.8007,2017-02-13,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.1947,133.4254,133.4254,2017-02-14,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.9385,132.2037,132.2037,2017-02-15,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.8742,133.1137,133.1137,2017-02-16,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.4345,132.6861,132.6861,2017-02-17,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.0077,131.2985,131.2985,2017-02-20,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.2509,131.535,131.535,2017-02-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.4972,131.7746,131.7746,2017-02-22,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.1411,132.4008,132.4008,2017-02-23,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.1753,132.434,132.434,2017-02-24,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.7972,131.0938,131.0938,2017-02-27,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.7887,131.0855,131.0855,2017-02-28,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.9124,132.1784,132.1784,2017-03-01,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.91,134.1211,134.1211,2017-03-02,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.9179,134.1288,134.1288,2017-03-03,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.2914,133.5195,133.5195,2017-03-06,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.3637,133.5898,133.5898,2017-03-07,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,138.1989,134.402,134.402,2017-03-08,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.148,133.38,133.38,2017-03-09,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.5131,132.7626,132.7626,2017-03-10,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.0384,131.3284,131.3284,2017-03-13,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.6457,130.9465,130.9465,2017-03-14,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.1084,130.4239,130.4239,2017-03-15,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.3775,130.6856,130.6856,2017-03-16,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.3325,130.6419,130.6419,2017-03-17,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.1559,131.4426,131.4426,2017-03-20,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.8301,132.0983,132.0983,2017-03-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.6101,131.8844,131.8844,2017-03-22,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.486,131.7637,131.7637,2017-03-24,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.6544,130.9549,130.9549,2017-03-27,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.1923,130.5055,130.5055,2017-03-28,-,-,-,CDC
